No,그룹,그룹,분류,2025년 4월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025년 4월,2025년 4월,2025년 4월,2025년 4월
No,그룹,그룹,분류,평균월세보증금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,평균월세보증금,평균월세가격,중위월세보증금,중위월세가격
No,그룹,그룹,분류,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천원,천원,천원,천원
1,전국,전국,전체,"16,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""16,544""",787,"""11,283""",762
2,전국,전국,40㎡이하,"9,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""9,921""",630,"""6,983""",617
3,전국,전국,40㎡초과 60㎡이하,"18,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""18,116""",918,"""12,154""",881
4,전국,전국,60㎡초과 85㎡이하,"32,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""32,067""","""1,134""","""26,196""","""1,117"""
5,전국,전국,85㎡초과,"86,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""86,943""","""2,127""","""38,718""","""1,861"""
6,수도권,수도권,전체,"18,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""18,034""",841,"""11,997""",813
7,수도권,수도권,40㎡이하,"10,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""10,742""",677,"""7,487""",665
8,수도권,수도권,40㎡초과 60㎡이하,"19,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""19,720""",986,"""12,876""",941
9,수도권,수도권,60㎡초과 85㎡이하,"34,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""34,791""","""1,213""","""27,601""","""1,193"""
10,수도권,수도권,85㎡초과,"98,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""98,484""","""2,195""","""41,268""","""1,874"""
11,서울,서울,전체,"22,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""22,900""",912,"""13,749""",878
12,서울,서울,40㎡이하,"14,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""14,727""",767,"""10,000""",751
