No,그룹,그룹,분류,2025년 4월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025년 4월,2025년 4월,2025년 4월,2025년 4월
No,그룹,그룹,분류,평균전세가격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,평균전세가격,평균단위당전세가격,중위전세가격,중위단위당전세가격
No,그룹,그룹,분류,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천원,천원/㎡,천원,천원/㎡
1,전국,전국,전체,"176,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""176,863""","""4,861""","""167,894""","""4,732"""
2,전국,전국,40㎡이하,"130,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""130,057""","""5,202""","""125,068""","""5,070"""
3,전국,전국,40㎡초과 60㎡이하,"212,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""212,940""","""4,277""","""207,429""","""4,225"""
4,전국,전국,60㎡초과 85㎡이하,"281,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""281,418""","""3,720""","""271,508""","""3,657"""
5,전국,전국,85㎡초과,"585,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""585,531""","""4,765""","""482,306""","""4,099"""
6,수도권,수도권,전체,"191,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""191,867""","""5,335""","""181,669""","""5,200"""
7,수도권,수도권,40㎡이하,"142,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""142,108""","""5,731""","""137,057""","""5,599"""
8,수도권,수도권,40㎡초과 60㎡이하,"232,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""232,588""","""4,673""","""224,616""","""4,617"""
9,수도권,수도권,60㎡초과 85㎡이하,"302,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""302,648""","""3,997""","""290,385""","""3,914"""
10,수도권,수도권,85㎡초과,"626,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""626,358""","""5,223""","""504,813""","""4,465"""
11,서울,서울,전체,"220,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""220,713""","""6,873""","""210,386""","""6,707"""
12,서울,서울,40㎡이하,"172,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""172,859""","""6,982""","""168,010""","""6,814"""
13,서울,서울,40㎡초과 60㎡이하,"301,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""301,574""","""6,253""","""304,705""","""6,259"""
14,서울,서울,60㎡초과 85㎡이하,"423,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""423,275""","""5,949""","""406,497""","""5,926"""
15,서울,서울,85㎡초과,"900,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""900,532""","""7,588""","""705,031""","""6,639"""
16,서울,도심권,전체,"259,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""259,690""","""7,571""","""255,206""","""6,905"""
17,서울,도심권,40㎡이하,"202,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""202,797""","""7,633""","""202,500""","""6,765"""
18,서울,도심권,40㎡초과 60㎡이하,"382,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""382,281""","""7,847""","""353,000""","""7,611"""
19,서울,도심권,60㎡초과 85㎡이하,"452,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""452,056""","""6,284""","""469,500""","""6,739"""
