dcls_month,fin_co_no,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day,intr_rate_type,intr_rate_type_nm,save_trm,intr_rate,intr_rate2
202505,0010001,WR0001B,우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20250520,,202505201054,S,단리,1,2.7,2.7
202505,0010001,WR0001B,우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20250520,,202505201054,S,단리,3,2.7,2.7
202505,0010001,WR0001B,우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20250520,,202505201054,S,단리,6,2.6,2.6
202505,0010001,WR0001B,우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20250520,,202505201054,S,단리,12,2.6,2.6
202505,0010001,WR0001B,우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20250520,,202505201054,S,단리,24,2.45,2.45
202505,0010001,WR0001B,우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,20250520,,202505201054,S,단리,36,2.5,2.5
202505,0010002,00320342,한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",1,개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000.0,20250520,99991231,202505201135,S,단리,1,2.4,2.6
202505,0010002,00320342,한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",1,개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000.0,20250520,99991231,202505201135,S,단리,3,2.75,2.95
202505,0010002,00320342,한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",1,개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000.0,20250520,99991231,202505201135,S,단리,6,2.75,2.95
202505,0010002,00320342,한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",1,개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000.0,20250520,99991231,202505201135,S,단리,12,2.6,2.9
202505,0010016,10511008000996000,아이엠뱅크,iM주거래우대예금(첫만남고객형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.65%p              
 - 목돈굴리기예금 최초 가입시 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 신용(체크)카드 신규 발급 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 인터넷.폰.모바일앱뱅킹 가입 : 연0.20%p
 * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,20250520,,202505200931,S,단리,6,1.67,2.32
