금융회사명,상품명,가입방법,만기이자,우대조건,가입대상,금리유형,적립유형,저축기간(개월),기본금리(%),최고우대금리(%)
BNK저축은행,정기적금,"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,복리,정액적립식,6,2.8,2.8
BNK저축은행,정기적금,"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,복리,정액적립식,12,3.3,3.3
BNK저축은행,정기적금,"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,복리,정액적립식,24,3.4,3.4
BNK저축은행,정기적금,"영업점,인터넷,스마트폰","* 1개월내 
: 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용
* 1개월이후
: 보통예금 금리 적용",없음,제한없음,복리,정액적립식,36,3.5,3.5
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,6,3.5,3.5
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,6,2.0,2.0
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,정액적립식,6,1.6,1.6
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,12,3.7,3.7
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,12,3.5,3.5
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,24,3.6,3.6
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,24,3.0,3.0
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,정액적립식,24,3.5,3.5
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,36,3.6,3.6
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,36,3.0,3.0
CK저축은행,정기적금,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,정액적립식,36,3.5,3.5
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,6,2.7,2.7
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,6,3.5,3.5
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,6,2.0,2.0
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,6,3.0,3.0
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,6,2.5,2.5
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,12,3.1,3.1
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,복리,자유적립식,12,3.7,3.7
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,12,3.5,3.5
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,12,3.0,3.0
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,12,3.8,3.8
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,12,2.9,2.9
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,24,2.6,2.6
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,24,3.6,3.6
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,24,3.2,3.2
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,24,2.9,2.9
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,36,2.1,2.1
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,36,3.6,3.6
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,36,3.2,3.2
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,36,3.3,3.3
CK저축은행,"정기적금(인터넷,모바일,비대면)","인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,제한없음,단리,정액적립식,36,2.9,2.9
DH저축은행,정기적금,영업점,"- 1개월이하 : 약정이율 범위 내 현행이율
- 1개월초과 : 보통예금 이율",없음,제한없음,복리,정액적립식,6,3.0,3.0
DH저축은행,정기적금,영업점,"- 1개월이하 : 약정이율 범위 내 현행이율
- 1개월초과 : 보통예금 이율",없음,제한없음,복리,정액적립식,12,4.0,4.0
DH저축은행,정기적금,영업점,"- 1개월이하 : 약정이율 범위 내 현행이율
- 1개월초과 : 보통예금 이율",없음,제한없음,복리,정액적립식,24,4.1,4.1
DH저축은행,정기적금,영업점,"- 1개월이하 : 약정이율 범위 내 현행이율
- 1개월초과 : 보통예금 이율",없음,제한없음,복리,정액적립식,36,4.1,4.1
DH저축은행,정기적금(비대면),"인터넷,스마트폰","- 1개월이하 : 약정이율 범위 내 현행이율
- 1개월초과 : 보통예금 이율",없음,제한없음,단리,정액적립식,6,3.0,3.0
