금융회사명,상품명,가입방법,상환 방식,우대조건,가입대상,금리유형,적립유형,저축기간(개월),기본금리(%),최고우대금리(%),금융권,최저 금리(%)
경남은행,따듯한햇살론뱅크,영업점 / 모바일 앱,원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,6.34%,최대 1.5%,2금융권,6.34%, 
지역농협,NH 햇살론,영업점,3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,6.31%,최대 1.5%,2금융권,6.31%
진주저축은행,햇살론,"인터넷, 모바일, 자체앱
인터넷, 모바일, 자체앱",3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,8.16%,최대 1.5%,2금융권,8.16%
융창저축은행,근로자햇살론,"온라인/오프라인
온라인/오프라인",3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,8.93%,최대 1.5%,2금융권,8.93%
융창저축은행,온라인햇살론,"온라인
온라인",3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,8.93%,최대 1.5%,2금융권,8.93%
하나저축은행,햇살론,"모바일웹, 모바일 앱, PC웹
모바일웹, 모바일 앱, PC웹",3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,8.90%,최대 1.5%,2금융권,8.90%
BNK저축은행,햇살론,"모바일
모바일",3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,8.82%,최대 1.5%,2금융권,8.82%
NH저축은행,NH온라인햇살론,정보없음,3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,9.30%,최대 1.5%,2금융권,9.30%
KB저축은행,햇살론(생계자금),"모바일,인터넷,영업점",3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,9.27%,최대 1.5%,2금융권,9.27%
IBK저축은행,온라인햇살론(간편대출),정보없음,3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,9.38%,최대 1.5%,2금융권,9.38%
우리금융저축은행,우리WON햇살론,"App
App",3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,9.26%,최대 1.5%,2금융권,9.26%
신한저축은행,햇살론/온라인햇살론,정보없음,3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,9.46%,최대 1.5%,2금융권,9.46%
KB저축은행,온라인햇살론,정보없음,3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,9.61%,최대 1.5%,2금융권,9.61%
DB저축은행,햇살론,정보없음,3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,9.70%,최대 1.5%,2금융권,9.70%
키움저축은행,햇살론,"온라인 및 앱
온라인 및 앱",3년 또는 5년 (거치기간 1년 포함 가능) / 원리금 균등 또는 원금 균등 상환,사회적 배려대상자/성실 상환자/청년층 등 최대 1.5% 우대,"근로자(연소득 3,500만원 이하 또는 신용등급 6등급 이하) / 자영업자(연소득 3,000만원 이하) / 청년층(만 19~34세)",변동금리 (12개월 단위),해당없음,36개월 또는 60개월,10.26%,최대 1.5%,2금융권,10.26%
